county,year,dayswaqi,maqi
McDowell,1996,60,54
Clermont,1982,365,192
Okanogan,2013,365,131
Montgomery,2001,363,134
Orange,1995,365,133
Richland,1993,164,57
Ford,1986,31,44
Dubois,2003,118,144
Polk,1992,366,188
Christian,2014,316,90
Butler,1984,366,203
Jackson,2010,120,90
Colbert,2007,324,122
Jefferson,2019,365,105
Ada,1997,365,104
Arkansas,1994,57,55
Union,2009,365,89
Butte,1980,353,126
Middlesex,1986,204,226
Brevard,1993,365,129
Williamson,2007,241,159
Mobile,2014,285,115
Carroll,1995,214,203
Washington,2002,94,88
Butte,1990,365,174
Warren,1991,347,177
Shelby,1993,365,202
Gallatin,2004,366,155
Sarpy,2005,104,127
Franklin,2018,365,100
Madison,2004,366,177
Vilas,1995,365,126
Kent,1997,220,218
Putnam,2010,365,166
Dawson,2002,245,169
Muskegon,1986,365,216
Hamilton,2007,365,193
Jefferson,1996,178,166
Washington,2015,360,101
Macon,2003,365,129
St Croix,1993,358,110
Buchanan,1991,358,84
District of Columbia,1998,365,202
Platte,1998,61,70
Warren,2014,213,100
Lawrence,1993,365,231
Roosevelt,2004,110,75
Galveston,1997,365,245
Henry,2000,13,67
Lincoln,2010,212,143
Culpeper,1992,42,40
Franklin,2000,366,179
Champaign,1981,325,133
Hunterdon,1995,364,201
Hawaii,2002,365,213
Manati,2000,54,69
Marshall,1997,360,200
La Crosse,1983,179,154
Linn,2008,363,97
Burlington,1999,365,64
McHenry,2003,363,147
Huntington,2007,182,140
DeSoto,1992,270,156
Morgan,2009,363,200
Catron,2000,71,77
Herkimer,1999,341,136
Napa,2013,365,119
Johnston,1985,190,150
Sarasota,1997,365,166
Vanderburgh,2012,366,161
Henry,2016,119,65
Minidoka,1999,57,73
Middlesex,2012,365,159
Huron,1995,177,203
Washington,1996,366,150
San Juan,1996,87,44
Anderson,1985,365,200
Washington,1994,199,161
Lucas,2014,364,135
Monmouth,2002,365,220
Klamath,1989,245,290
Calcasieu,2017,365,115
Delta,1984,290,43
Collier,2003,335,122
Iron,2014,353,115
Lancaster,1989,365,94
Culberson,2004,105,72
Hidalgo,1991,362,200
Cabell,2005,358,150
Washington,2014,363,101
Fayette,2015,365,139
Shawnee,1994,32,46
Greenville,1985,348,177
Oldham,2001,242,166
Knox,1998,254,192
Thurston,2004,364,116
Umatilla,1991,115,134
Plumas,1993,255,119
Tarrant,2009,365,187
Essex,1986,365,172
Dutchess,2018,364,156
Williams,2018,365,119
Los Alamos,2004,117,32
St. Louis City,2012,366,174
Ocean,1980,350,136
Dakota,1992,366,185
Jefferson,2008,243,164
Pike,1993,236,126
Warren,1991,41,57
Chester,2000,120,154
Blaine,1999,59,56
Roanoke,1981,252,150
San Miguel,2014,274,93
Mecklenburg,1982,365,207
Mahoning,1990,365,172
San Miguel,2005,119,58
Big Horn,2010,292,67
Salt Lake,2010,365,501
Pima,2001,365,115
Northampton,2010,365,172
Stafford,2014,214,108
Kent,1994,207,219
Clear Creek,2015,295,140
Pierce,1995,365,129
Olmsted,2006,363,124
Hartford,2007,365,202
Dodge,1999,223,172
Boyd,1986,365,207
Linn,2000,366,161
Sonoma,1997,365,164
Tulare,1988,366,213
Gunnison,1997,361,137
Yakima,1983,225,118
Story,1988,366,199
Saint Louis,2018,365,119
St. Tammany,2014,365,143
Missoula,1988,366,113
Hendricks,2002,180,209
Washington,2002,362,197
Wayne,2011,273,64
Niagara,2007,365,159
Dougherty,1995,364,74
Kenai Peninsula ,2003,113,30
Gila,1981,365,237
Franklin,2012,366,125
Wayne,2011,120,49
Chelan,2017,365,269
Pinellas,2000,366,161
Androscoggin,1997,363,71
Forrest,1999,98,124
Lincoln,1987,137,140
Story,1991,365,113
Champaign,1983,363,187
Somerset,1996,213,151
Charles,1995,207,190
Canadian,2004,366,122
Marshall,2000,271,192
Boone,2012,212,150
Door,1989,158,202
Asotin,1986,26,89
Morgan,2006,355,200
Charles,2011,207,182
Hampshire,2009,365,129
Hanover,1991,203,166
Cocke,1980,347,153
Livingston,2002,365,154
Chautauqua,2004,366,161
Franklin,2005,118,134
Pitt,1983,341,169
McHenry,2004,358,105
Umatilla,1994,206,73
Northumberland,2000,61,41
Mendocino,2018,364,314
Giles,2016,341,115
Shelby,1999,365,205
Prince Edward,2008,358,105
Jackson,2018,365,123
Edgecombe,2017,362,80
Centre,2003,365,202
Dyer,2014,109,80
Henderson,2018,365,120
Swain,2007,364,120
York,1997,310,161
Montgomery,2011,278,108
Mohave,2009,111,72
Pinal,2019,365,886
Los Alamos,1991,365,122
Galveston,1987,357,192
Davis,2000,366,214
Houston,2008,277,90
McDowell,1998,59,50
Penobscot,2015,364,100
Culberson,1998,100,74
Fountain,1990,349,184
Bell,2003,265,147
White,1997,55,62
Hartford,1982,365,220
Henry,2018,354,115
Clay,1982,171,90
Cherokee,1993,361,166
Bibb,2015,365,87
Howard,2015,365,92
Columbiana,1995,364,159
Lucas,1999,365,207
Stearns,2018,365,101
Tangipahoa,2009,117,73
Otero,1996,44,84
Marion,2013,365,90
Craighead,1997,60,61
Forsyth,2012,366,154
St. James,2010,362,105
Grant,1990,365,200
Bowie,2013,57,94
Tulsa,2012,366,201
Montgomery,2005,285,133
Russell,2015,337,141
Montgomery,2000,366,192
Grant,2002,354,140
Will,1987,363,200
Johnson,1990,49,59
Cobb,2000,279,205
Hidalgo,1981,328,200
Lawrence,1998,234,179
Perry,2001,365,188
Scotts Bluff,1997,29,54
Gibson,2010,365,122
Monterey,1989,365,174
Ashland,2007,363,105
Jefferson,1991,53,43
Amador,2001,365,154
Potter,2007,360,66
Pima,2014,365,129
Rockingham,2007,209,151
Adams,1998,195,159
Kewaunee,1987,180,218
Delaware,2014,240,130
Cook,2000,366,155
Knox,1983,363,172
Merced,2018,365,171
Carson City,2016,366,93
Northumberland,1993,58,51
Pawnee,2002,49,93
Harlan,2002,61,40
Hall,2006,110,89
Marion,1996,58,58
Grand Forks,1996,59,71
Rusk,2018,358,138
Greenbrier,2009,209,97
Wise,1995,61,52
Missoula,1989,365,151
Saint Clair,2010,365,150
Haywood,1995,252,195
Clermont,1991,365,172
Santa Clara,2005,365,154
Wabash,2003,365,162
Warren,1981,358,200
Daviess,2001,364,172
Mono,2019,365,3852
Rutland,2005,365,107
Marathon,1981,365,200
Clark,2017,365,158
Montgomery,2010,342,56
Tarrant,1984,366,254
Winchester City,2015,59,31
Saint Charles,2012,214,185
Chaffee,2012,69,108
Madison,1983,290,161
Stearns,2007,365,148
Blair,1982,362,182
Galveston,1980,343,235
Roanoke City,1999,365,95
Mendocino,1984,278,74
Ulster,2001,365,164
Montgomery,2005,365,136
Clark,1994,363,206
Boone,2006,60,73
New York,1983,364,245
Montgomery,2002,362,203
Scott,2005,107,135
Warren,2012,359,150
Weld,1980,366,192
Niagara,1988,366,223
Lyon,2015,275,108
Routt,2010,351,73
Daviess,2008,324,174
Hubbard,1989,29,59
Belknap,2013,213,84
San Diego,2012,366,165
Delaware,1990,365,216
Sweet Grass,2005,90,34
Lancaster,2001,365,92
Hamilton,2005,216,136
Santa Clara,2018,365,194
Crow Wing,2005,328,152
Kay,2001,365,164
Custer,2004,58,38
Shasta,2005,365,159
Sutter,2016,366,147
Kewaunee,1985,154,182
Chatham,2011,364,100
Pulaski,2010,365,133
Gunnison,2008,361,100
Stark,1992,60,31
Geauga,2005,206,164
Whatcom,1994,349,156
Los Angeles,1985,365,298
Middlesex,1981,236,248
Honolulu,2003,365,170
Dallas,1989,365,205
Honolulu,2002,365,152
Sarasota,1997,365,166
Marin,1985,365,122
Leon,2017,357,87
Jefferson,1987,365,377
Wakulla,2006,357,115
Scotts Bluff,2007,107,67
Wayne,1984,352,164
Bradley,2005,357,119
Saint Clair,2011,365,151
Dawson,2001,241,156
Calhoun,1998,44,51
Columbiana,2011,364,51
Marshall,1984,318,200
Broward,1983,365,136
Idaho,2019,365,88
Hennepin,1985,365,154
Juneau ,1998,75,44
Pasco,1998,365,185
Douglas,1993,360,90
Missoula,1992,334,98
Yolo,1981,364,210
Brevard,2001,365,159
Fauquier,2018,244,80
Oliver,2005,364,119
Edgecombe,2017,362,80
Vieques,2000,28,52
Berkeley,2000,344,174
Bay,2016,366,87
Jefferson,1990,365,203
St. Bernard,1982,312,204
Arlington,1986,364,200
Washoe,2004,366,126
Tioga,2004,205,136
Kent,1985,365,205
Taos,1993,251,61
Marshall,1995,352,200
Brevard,1988,59,67
Simpson,1999,352,195
Putnam,2009,365,77
Lawrence,2006,365,132
Daviess,1985,365,183
Mohave,1999,60,93
Juncos,2007,88,32
Adams,2011,365,100
Tulsa,1993,365,200
San Joaquin,2005,365,155
Campbell,2006,365,133
Lehigh,2004,366,174
Taos,2008,365,61
Harnett,1993,52,44
Effingham,2019,245,84
Williamson,1982,339,133
Denver,1984,365,236
Edgefield,1990,353,164
Vilas,2013,222,80
Silver Bow,2014,362,108
Hendricks,2009,272,140
Lawrence,1995,364,187
Merced,1998,362,225
Ravalli,2004,223,155
Wake,1991,365,179
Sheridan,2009,363,109
Marin,2014,365,107
Fauquier,2007,213,108
Marion,2015,365,67
Catawba,1992,12,47
Sangamon,1987,363,181
Harris,1980,364,297
Jessamine,1993,214,169
Carlton,2013,204,93
McKinley,1990,47,51
Scott,2010,242,120
Arlington,1985,365,206
Solano,1983,365,179
Davidson,2016,366,126
Niagara,1980,366,206
Dakota,2007,365,141
Mobile,1997,365,167
Yakima,1990,357,89
Jefferson,2001,365,197
