"i_county","i_year","i_dayswaqi","i_gdays","i_maqi","patternig","coverage","informativeness","county_r2","year_r2","dayswaqi_r2","gdays_r2","maqi_r2","meanr2","fscore"
NULL,NULL,0,NULL,NULL,39739,1824,1,1.5738302948846783,1.2309748857039666,1.1888733868154864,1,1,1.1987357134808263,8361.714643957861
NULL,NULL,NULL,NULL,200,4399,670,1,1.5992656316315967,1.6338719218460689,1.1889403972219665,1,1,1.2844155901399266,2985.907546143088
NULL,2007,NULL,NULL,NULL,3220,475,1,1.637307966346896,1.766002344665885,1.3476009056280778,1,1,1.3501822433281716,2234.1446056023383
NULL,2005,NULL,NULL,NULL,3431,471,1,1.7017378654221131,1.7289315646334018,1.2911209262908194,1,1,1.3443580712692669,2225.7094029507225
NULL,1999,NULL,NULL,NULL,3295,463,1,1.689058019656514,1.7436470528323031,1.3186989598554735,1,1,1.350280806468858,2191.251335973944
NULL,2002,NULL,NULL,NULL,3032,474,1,1.6134484078886677,1.6926543957412585,1.274467302026562,1,1,1.3161140211312976,2156.5638831254214
NULL,2011,NULL,NULL,NULL,3301,448,1,1.6446465132049475,1.7561909171919137,1.3587599778777897,1,1,1.3519194816549303,2131.8004436999686
NULL,2012,NULL,NULL,NULL,3172,451,1,1.6528885075156619,1.7179739774194025,1.3688503076535021,1,1,1.3479425585177132,2127.606963388923
NULL,2004,NULL,NULL,NULL,3073,453,1,1.6708845302447057,1.722923511562834,1.3256930408397598,1,1,1.34390021652946,2120.883772592734
NULL,1995,NULL,NULL,NULL,3248,446,1,1.7046761700083108,1.723967633928571,1.3213937866258232,1,1,1.350007518112541,2116.284103854187
NULL,2001,NULL,NULL,NULL,3192,446,1,1.7026961122427506,1.650312947242535,1.394136057336389,1,1,1.349429023364335,2110.8856463876396
NULL,2009,NULL,NULL,NULL,3551,438,1,1.646885968198006,1.73790594747532,1.3592117273197117,1,1,1.3488007285986074,2102.388072156612
NULL,2010,NULL,NULL,NULL,3316,442,1,1.6945378126690107,1.6978570853137844,1.3185698076512702,1,1,1.3421929411268132,2092.5910584414924
NULL,2006,NULL,NULL,NULL,3039,436,1,1.6917883314743993,1.7132925023842243,1.4171133372564242,1,1,1.3644388342230096,2079.6059140777475
NULL,2014,NULL,NULL,NULL,3291,426,1,1.6487956583111503,1.816869300911854,1.3524902539657826,1,1,1.3636310426377574,2056.0123160496323
NULL,2000,NULL,NULL,NULL,2975,443,1,1.6845609241367447,1.6386750129893808,1.3305526696136247,1,1,1.33075772134795,2051.0751668659304
NULL,2003,NULL,NULL,NULL,2670,442,1,1.7046314336773358,1.728385986697592,1.307211645491998,1,1,1.348045813173385,2043.294792432938
NULL,2008,NULL,NULL,NULL,2809,428,1,1.7314457359362945,1.6592561450149286,1.4054266583169504,1,1,1.3592257078536347,2017.8457674589804
NULL,2015,NULL,NULL,NULL,3159,411,1,1.6852271044031024,1.7698236944416754,1.3767674807756016,1,1,1.366363655924076,1986.3773260812554
NULL,2013,NULL,NULL,NULL,2928,414,1,1.6931285339110798,1.7842002875213818,1.3526438213171197,1,1,1.3659945285499162,1980.4622368018095
NULL,2017,NULL,NULL,NULL,3102,413,1,1.6620315375474837,1.7104390499247537,1.4094734350284535,1,1,1.356388804500138,1976.1488703107111
NULL,2016,NULL,NULL,NULL,2556,426,1,1.7186202963158104,1.6267842266893804,1.4207466243195181,1,1,1.3532302294649416,1974.9309026947649
NULL,1997,NULL,NULL,NULL,2876,414,1,1.6807819136133013,1.6721860370445756,1.326909192300655,1,1,1.3359754285917063,1932.6069509071176
NULL,1994,NULL,NULL,NULL,3167,400,1,1.6706741538367722,1.6732931815388326,1.425458252549651,1,1,1.3538851175850513,1922.0303978351449
NULL,1993,NULL,NULL,NULL,2876,408,1,1.7042291658066209,1.6256225409274228,1.3860449473320342,1,1,1.3431793308132156,1918.360057006352
NULL,1992,NULL,NULL,NULL,2618,411,1,1.7060517170375675,1.5945246194731824,1.411389117283762,1,1,1.3423930907589026,1905.9704824669097
NULL,2018,NULL,NULL,NULL,2562,407,1,1.6748918075867731,1.7158365986799504,1.368028047849502,1,1,1.3517512908232452,1897.4758271186965
NULL,1996,NULL,NULL,NULL,2637,405,1,1.7011078972402145,1.7174654438967956,1.3299637657684587,1,1,1.3497074213810936,1893.9575527867146
NULL,1998,NULL,NULL,NULL,3107,394,1,1.638534198212616,1.7208851804202998,1.2548569636531302,1,1,1.3228552684572092,1848.969023552867
NULL,1991,NULL,NULL,NULL,2446,383,1,1.6893856550039148,1.7317821101343687,1.3577098160022396,1,1,1.3557755162281047,1794.3557903177411
NULL,1990,NULL,NULL,NULL,2573,377,1,1.6687889595409606,1.711202507366164,1.4042572816442993,1,1,1.356849749710285,1783.2163495754933
NULL,2019,NULL,NULL,NULL,3877,323,1,1.6648815312135474,1.736042461436391,1.4852115625181095,1,1,1.3772271110336096,1641.6056706520897
"Jefferson",NULL,NULL,NULL,NULL,1420,344,1,1.859245895724337,1.8673983440452824,1.5275556787567461,1,1,1.4508399837052732,1604.8141260401887
NULL,1989,NULL,NULL,NULL,2260,327,1,1.627912816049917,1.6951071324572908,1.32744021465491,1,1,1.3300920326324235,1518.4848266052988
NULL,1988,NULL,NULL,NULL,2069,308,1,1.6151323290430086,1.6397083291716184,1.3420670327538682,1,1,1.3193815381936989,1413.4773675208924
"Washington",NULL,NULL,NULL,NULL,964,306,1,1.8235802994090995,1.7976366869119609,1.5137761678716113,1,1,1.4269986308385343,1323.272029192142
NULL,1987,NULL,NULL,NULL,1843,282,1,1.6254282605074024,1.7293342674940666,1.2780465205590514,1,1,1.3265618097121041,1296.3663886712732
NULL,1985,NULL,NULL,NULL,1887,272,1,1.6546372263173859,1.6832785011888531,1.3948075064006424,1,1,1.3465446467813762,1279.078347333782
NULL,NULL,NULL,NULL,100,1968,229,1,1.7574939553411286,1.8669311271057056,1.8955427381503274,1,1,1.5039935641194322,1232.6557069450914
NULL,1980,NULL,NULL,NULL,2068,264,1,1.6444144442724486,1.7307546998774215,1.1917962742336496,1,1,1.3133930836767038,1228.711762429168
NULL,NULL,NULL,NULL,97,1838,228,1,1.7974175296120718,1.8994805656508262,1.8627959373670842,1,1,1.5119388065259964,1225.226912412368
NULL,1983,NULL,NULL,NULL,2163,246,1,1.7694649022937243,1.8306513503205077,1.256872462877446,1,1,1.3713977430983355,1210.4613946903594
NULL,1986,NULL,NULL,NULL,1823,260,1,1.596556571073267,1.6390146382524433,1.3411120129870129,1,1,1.3153366444625445,1195.8733564882448
NULL,NULL,NULL,NULL,115,1833,261,1,1.7072410638012574,1.7373937890807727,1.1005756727367157,1,1,1.309042105123749,1194.9817475569766
NULL,2021,0,NULL,NULL,2826,128,2,2,1,1,1,1,1.2,1174.2826998512105
NULL,NULL,NULL,NULL,93,1683,216,1,1.8108956913592968,1.9035585145559273,1.8754317501854776,1,1,1.5179771912201403,1160.814084303306
NULL,NULL,NULL,NULL,133,1687,239,1,1.7530232961948617,1.780727653276955,1.2023097698554948,1,1,1.3472121438654623,1126.7400445330643
NULL,NULL,NULL,NULL,119,1538,237,1,1.802153185783098,1.805822510822511,1.1970783718586804,1,1,1.3610108136928578,1116.4791050048095
NULL,NULL,NULL,NULL,112,1802,234,1,1.7700350633151034,1.795019892038603,1.126102360781804,1,1,1.338231463227102,1107.351814190266
NULL,1984,NULL,NULL,NULL,1355,246,1,1.6769729076708288,1.6269293355562504,1.3051282969720421,1,1,1.3218061080398242,1099.2119693361794
NULL,NULL,NULL,NULL,101,1450,237,1,1.7454195845852307,1.8301528990216567,1.173118584703026,1,1,1.3497382136619827,1098.2629034894987
NULL,NULL,NULL,NULL,126,1630,226,1,1.739254522842093,1.798944402900057,1.2159876889778263,1,1,1.3508373229439952,1071.103352568151
NULL,1981,NULL,NULL,NULL,1718,221,1,1.7637869301865858,1.7629380653452627,1.286016540178421,1,1,1.3625483071420539,1065.9103661192794
NULL,NULL,NULL,NULL,108,1711,229,1,1.715946765015216,1.7017429533974777,1.1822861834247809,1,1,1.319995180367495,1065.1163409938194
NULL,2019,0,NULL,NULL,2576,116,2,2,1,1,1,1,1.2,1064.3490650044525
NULL,NULL,NULL,NULL,156,1560,231,1,1.7507959870954042,1.7093801206111094,1.115974232848201,1,1,1.3152300681109428,1057.1622866916896
NULL,2021,NULL,NULL,NULL,4494,229,1,1.4180578934139128,1,1.6379986973976552,1,1,1.2112113181623136,1055.1816655555458
NULL,1982,NULL,NULL,NULL,1574,226,1,1.674850155266245,1.7862850691750025,1.2193229437443072,1,1,1.336091633637111,1054.8085065602477
NULL,NULL,NULL,NULL,151,1710,226,1,1.7112045281273685,1.7619171842541685,1.1383810440977995,1,1,1.3223005512958672,1054.553767262458
NULL,NULL,NULL,NULL,105,1614,223,1,1.6973733151656958,1.7205585499277483,1.2932180629448347,1,1,1.3422299856076558,1050.5888311685396
NULL,NULL,NULL,NULL,129,1460,220,1,1.6871323818781785,1.7837162196686833,1.2233485033340223,1,1,1.338839420976177,1022.469937543751
NULL,NULL,NULL,NULL,154,1494,214,1,1.7821206712238769,1.8172328119504084,1.2318539845624852,1,1,1.3662414935473541,1021.5572659328211
NULL,NULL,NULL,NULL,140,1348,225,1,1.7163070508328206,1.773677757046604,1.090010362337934,1,1,1.3159990340434717,1013.4919146891983
NULL,NULL,NULL,NULL,159,1588,217,1,1.7475164416699187,1.7846561888588277,1.099560663463139,1,1,1.3263466587983772,1011.5577722423849
NULL,NULL,NULL,NULL,147,1659,216,1,1.747260892294376,1.7456758786230797,1.123799217882135,1,1,1.323347197759918,1010.4035172032104
NULL,NULL,NULL,NULL,150,1404,214,1,1.7687271611439528,1.7749028283449477,1.1548195116981501,1,1,1.3396899002374103,993.6629243230201
NULL,NULL,NULL,NULL,122,1775,211,1,1.7033206573466377,1.7142252822038744,1.1159705483568605,1,1,1.3067032975814745,984.5423781251648
NULL,NULL,NULL,NULL,136,1539,211,1,1.7420859697705584,1.753306088204456,1.1233768752544206,1,1,1.323753786645887,981.2370401413162
NULL,2020,0,NULL,NULL,2193,104,2,2,1,1,1,1,1.2,951.8699243544039
NULL,NULL,NULL,NULL,87,1638,176,1,1.7287449392712548,1.8585605032965737,1.846071426690211,1,1,1.4866753738516079,943.7793868512116
NULL,NULL,NULL,NULL,143,1246,199,1,1.748059216095806,1.7080226432264418,1.2155956228064961,1,1,1.3343354964257488,914.3811918682065
NULL,2020,NULL,NULL,NULL,3659,199,1,1.364988937811738,1,1.6527600541620147,1,1,1.2035497983947505,908.0909257220086
NULL,NULL,NULL,NULL,164,1172,195,1,1.7733307620211494,1.7539174910182698,1.1749360975410659,1,1,1.340436870116097,894.8642252807142
NULL,NULL,NULL,NULL,90,1416,163,1,1.8746713310251972,1.9140728731428882,1.8496800706494518,1,1,1.5276848549635074,891.8007300940877
NULL,NULL,NULL,NULL,161,1282,189,1,1.764998316639991,1.8087213745598796,1.142592379518013,1,1,1.3432624141435767,883.6224516718867
NULL,NULL,NULL,NULL,166,1170,191,1,1.755154957369086,1.804370960595123,1.1318637478638642,1,1,1.3382779331656147,877.449051538127
NULL,NULL,NULL,NULL,179,1236,184,1,1.693438073368363,1.7892551633740867,1.134231475041513,1,1,1.3233849423567925,846.4165050418509
NULL,NULL,NULL,NULL,172,1182,183,1,1.7504159419937226,1.728145705700091,1.102939540632403,1,1,1.3163002376652433,832.9415488104042
NULL,NULL,NULL,NULL,177,1097,176,1,1.734109872717243,1.8083006581916314,1.1330670896070132,1,1,1.3350955241031774,808.4763414237178
