"i_county","i_year","i_dayswaqi","i_gdays","i_maqi","patternig","coverage","informativeness","county_r2","year_r2","dayswaqi_r2","gdays_r2","maqi_r2","meanr2","fscore"
NULL,NULL,0,NULL,NULL,39739,1824,1,1.5738302948846783,1.2309748857039666,1.1888733868154864,1,1,1.1987357134808263,8361.714643957861
NULL,NULL,NULL,NULL,200,4399,670,1,1.5992656316315967,1.6338719218460689,1.1889403972219665,1,1,1.2844155901399266,2985.907546143088
NULL,2007,NULL,NULL,NULL,3220,475,1,1.637307966346896,1.766002344665885,1.3476009056280778,1,1,1.3501822433281716,2234.1446056023383
NULL,2005,NULL,NULL,NULL,3431,471,1,1.7017378654221131,1.7289315646334018,1.2911209262908194,1,1,1.3443580712692669,2225.7094029507225
NULL,1999,NULL,NULL,NULL,3295,463,1,1.689058019656514,1.7436470528323031,1.3186989598554735,1,1,1.350280806468858,2191.251335973944
NULL,2002,NULL,NULL,NULL,3032,474,1,1.6134484078886677,1.6926543957412585,1.274467302026562,1,1,1.3161140211312976,2156.5638831254214
NULL,2011,NULL,NULL,NULL,3301,448,1,1.6446465132049475,1.7561909171919137,1.3587599778777897,1,1,1.3519194816549303,2131.8004436999686
NULL,2012,NULL,NULL,NULL,3172,451,1,1.6528885075156619,1.7179739774194025,1.3688503076535021,1,1,1.3479425585177132,2127.606963388923
NULL,2004,NULL,NULL,NULL,3073,453,1,1.6708845302447057,1.722923511562834,1.3256930408397598,1,1,1.34390021652946,2120.883772592734
NULL,1995,NULL,NULL,NULL,3248,446,1,1.7046761700083108,1.723967633928571,1.3213937866258232,1,1,1.350007518112541,2116.284103854187
