county,year,gdays,maqi
Sumter,2009,74,220
Wexford,2021,105,216
Oldham,2009,101,201
Clinton,2004,129,168
Guayama,2016,70,91
Shasta,1986,179,178
Somerset,2020,71,357
Kings,1993,124,243
Lake,2002,210,159
Neosho,1995,52,50
Winnebago,1990,147,150
Merced,1993,205,204
Taney,2013,100,230
Shoshone,2011,147,244
Delaware,1999,226,117
Harlan,1994,65,47
Allen,1994,202,229
Lincoln,2008,62,113
Knox,1983,200,254
Rutherford,1988,215,96
Winnebago,1991,159,307
Buncombe,2004,133,187
Dona Ana,1994,382,114
Union,2016,99,329
Outagamie,2008,152,185
Edmonson,2004,105,264
Lexington,1980,197,102
Sainte Genevieve,2019,87,229
Creek,2013,108,307
Jefferson,1988,187,246
Jersey,1989,195,158
Cedar,1999,35,4
Madison,2004,129,150
Lake,2008,134,161
Kenosha,1985,202,225
Ponce,2011,60,163
St. Louis City,2018,182,204
Wayne,1988,200,38
Monroe,2000,50,59
Montezuma,2010,122,271
Alexander,1988,177,25
Tuscaloosa,2006,161,163
Baker,2011,87,329
Harris,2000,241,68
Alachua,2010,101,275
Tuscarawas,2001,119,315
Tulare,2005,207,74
New Haven,1991,248,128
Albany,2019,90,247
Jasper,1992,106,334
Schenectady,2008,151,348
St Croix,2006,200,332
Skagit,2003,200,347
Cass,1986,156,292
Hardin,2008,122,228
Fremont,2010,112,235
McClain,1993,115,326
Montgomery,2021,112,250
Ottawa,1980,185,191
Essex,1999,207,262
Madison,1999,182,201
Trego,2008,84,308
Saratoga,1995,169,303
Charleston,2009,85,246
Philadelphia,2018,156,217
Christian,1994,48,3
St. John the Baptist,1998,195,290
Norfolk,2011,119,297
Lawrence,1993,159,170
Gallatin,1991,87,89
Sheridan,1997,114,227
Belmont,2001,188,223
Lincoln,1988,155,172
Sussex,1990,228,141
Beltrami,1989,77,175
Bay,1980,170,94
Putnam,2002,58,60
Hanover,1993,200,84
Clermont,2009,101,180
Huron,1990,151,165
San Mateo,2015,101,327
Salem,1983,155,210
Trego,2021,84,153
Santa Cruz,1990,111,32
Shawnee,2019,158,294
New Hanover,2003,129,227
Seminole,1999,159,259
Calhoun,1988,77,225
SONORA,2008,86,28
Floyd,2016,143,280
St. Martin,2020,87,337
Caldwell,2005,133,144
Ponce,1983,82,271
Shoshone,2001,133,281
Philadelphia,1983,234,31
Hall,2017,68,205
Shelby,1991,195,135
Warren,1986,158,303
Muhlenberg,1995,168,296
Ingham,2011,119,303
Tarrant,1983,229,184
Lake,2002,206,83
San Juan,1990,63,88
Kenosha,1983,242,235
Dougherty,1995,74,361
Lemhi,2005,151,221
Franklin,1993,172,240
Smith,2005,156,247
Middlesex,2014,151,140
Polk,1999,9,97
Berkshire,2016,79,310
Arlington,2021,115,183
Orleans,2002,112,236
Henry,2009,91,75
Aiken,2020,71,258
Perry,2008,112,131
Haywood,1993,205,206
Kewaunee,1989,187,132
Tehama,2002,174,170
Lemhi,2005,151,221
Cherry,2002,55,96
New Castle,1996,203,130
Colusa,2013,126,250
McLean,2003,126,287
Centre,2021,161,188
Person,2015,77,254
Bernalillo,2020,214,135
Bernalillo,1998,129,186
La Plata,2004,108,258
Caldwell,1997,150,113
Marion,1999,182,224
Pike,2001,136,237
Delta,2017,52,114
Kauai,2019,71,363
Alexandria City,1994,196,188
Jackson,2001,164,257
Warrick,2000,200,149
Sedgwick,1995,156,296
Bonneville,2016,65,301
Neosho,1993,63,59
Monroe,2013,75,283
District of Columbia,1994,212,115
Johnson,2006,104,82
Jefferson,2015,90,345
Prince Edward,2020,49,361
Floyd,1994,56,50
McKenzie,1988,200,227
Dauphin,1999,210,182
Lincoln,1998,179,96
Fairfax,1982,205,153
Hamilton,1998,150,146
San Francisco,2012,105,294
Canadian,2002,151,271
Ramsey,2017,88,311
Adams,2003,104,339
Erie,2003,204,177
Cambria,2017,91,209
Cass,2003,179,197
Hancock,2010,146,216
Koochiching,1989,77,215
Lemhi,1990,92,4
Utah,1983,245,63
Bay,2018,83,321
Pierce,2012,144,288
Grays Harbor,2006,82,339
Perry,1988,64,17
Comanche,1999,147,277
Charles,1993,210,96
Campbell,1998,195,228
Laramie,2021,74,155
Norfolk City,2014,71,339
Daviess,2015,113,241
Boone,2004,87,80
Cedar,2015,87,296
